continent,region,country,inflow1990,inflow1995,inflow2000,inflow2005,inflow2010,inflow2015
Europe,Southern Europe,Albania,66013,71354,76695,64739,52784,57616
Europe,Southern Europe,Andorra,38904,40525,42146,50298,52053,42082
Europe,Southern Europe,Bosnia and Herz.,56000,69476,82952,47272,38792,34803
Europe,Southern Europe,Croatia,475438,674085,585298,579273,573248,576883
Europe,Southern Europe,Gibraltar,8709,8381,8054,9211,10369,11065
Europe,Southern Europe,Greece,618139,857850,1111665,1190707,1269749,1242514
Europe,Southern Europe,Holy See,770,779,787,793,799,800
Europe,Southern Europe,Italy,1428219,1774954,2121688,3954790,5787893,5788875
Europe,Southern Europe,Malta,15077,17740,21521,24560,33084,41442
Europe,Southern Europe,Montenegro,0,0,0,0,78507,82541
Europe,Southern Europe,Portugal,435782,532822,651472,771184,762825,837257
Europe,Southern Europe,San Marino,3310,3659,4045,4218,4399,4717
Europe,Southern Europe,Serbia,99269,630221,856763,845120,826066,807441
Europe,Southern Europe,Slovenia,178077,174419,171018,197276,253786,235966
Europe,Southern Europe,Spain,821605,1020067,1657285,4107226,6280065,5852953
